CUSIP,Security Name,Mtge Orig Amt,Cpn,Mtge Factor,Current WAL,Issue Date,Original WAL,Issuer,Mortgage Loan Margin
8316A0J35,SBA 530281,17739005.79,5.625,0.983985153,9.6144,12/1/2022,,"RAYMOND JAMES BANK, N.A.",-2.375
8316A0KE9,SBA 530292,121338294.1,5.6,0.956679528,5.2969,12/1/2022,,"BREAN CAPITAL, LLC",-2.4
8316A0J43,SBA 530282,49854115.51,5.6,0.941243562,5.3462,12/1/2022,,BMO CAPITAL MARKETS CORP.,-2.4
8316A0J76,SBA 530285,50063404.15,5.6,0.939383017,5.3462,12/1/2022,,BMO CAPITAL MARKETS CORP.,-2.4
8316A0KG4,SBA 530294,82557910.68,7.575,0.993661491,16.1079,12/1/2022,,"RAYMOND JAMES BANK, N.A.",-0.425
8316A0JS0,SBA 530272,20972334.97,8.325,0.994368598,16.4181,12/1/2022,,SIGNATURE BANK,0.325
8316A0JW1,SBA 530276,2328895.28,5.7,0.927149155,3.6159,12/1/2022,,"RAYMOND JAMES BANK, N.A.",-2.3
8316A0J50,SBA 530283,34487608.69,7.325,0.987856362,15.9375,12/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-0.675
8316A0JZ4,SBA 530279,33557954.72,7.25,0.970803634,5.5723,12/1/2022,,TRUIST BANK,-0.75
8316A0KF6,SBA 530293,129791554.4,5.7,0.991523007,15.2286,12/1/2022,,"BREAN CAPITAL, LLC",-2.3
8316A8C35,SBA 540089,10102770,10.676,0.89564318,5.6086,12/1/2022,,STONEWALL INVESTMENTS TENNESSE,2.676
8316A0J68,SBA 530284,34209703.65,7.325,0.935400219,15.4215,12/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-0.675
8316A0KA7,SBA 530288,10017205.39,5.65,0.979030875,7.7445,12/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-2.35
8316A0JR2,SBA 530271,1103900.05,9.625,0.97305425,5.5352,12/1/2022,,SIGNATURE BANK,1.625
8316A0J92,SBA 530287,25533176.39,5.65,0.990890253,14.5451,12/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-2.35
8316A8C27,SBA 540088,18987114.66,9.38,0.965886657,5.6259,12/1/2022,,SIGNATURE BANK,1.38
8316A0KC3,SBA 530290,38249840.42,7.8,0.92153112,15.742,12/1/2022,,CANTOR FITZGERALD & CO.,-0.2
8316A0KD1,SBA 530291,16618073.11,5.375,0.980391931,8.2797,12/1/2022,,"BREAN CAPITAL, LLC",-2.625
8316A0KB5,SBA 530289,18337534.4,5.625,0.978277587,7.5317,12/1/2022,,"BREAN CAPITAL, LLC",-2.375
8316A0JT8,SBA 530273,4121305.86,5.8,0.96742747,5.3116,12/1/2022,,SIGNATURE BANK,-2.2
8316A0JV3,SBA 530275,18481111.6,5.625,0.980917978,11.6774,12/1/2022,,"RAYMOND JAMES BANK, N.A.",-2.375
8316A0JY7,SBA 530278,3809032.33,5.6,0.88222343,12.2412,12/1/2022,,TRUIST BANK,-2.4
8316A0JJ0,SBA 530264,102856627.4,5.6,0.954858336,5.1007,11/1/2022,,"BREAN CAPITAL, LLC",-2.4
8316A0JL5,SBA 530266,35487580.87,5.6,0.898240341,3.5055,11/1/2022,,TRUIST BANK,-2.4
8316A0JM3,SBA 530267,30153871.07,8.25,0.938745394,4.5466,11/1/2022,,TRUIST BANK,0.25
8316A0JQ4,SBA 530270,12706358.06,5.6,0.919602646,3.5189,11/1/2022,,CANTOR FITZGERALD & CO.,-2.4
8316A0JF8,SBA 530261,37095270.82,7.5,0.992212826,16.2069,11/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-0.5
8316A0H94,SBA 530255,25415033.45,7.5,0.915932697,4.0576,11/1/2022,,"RAYMOND JAMES BANK, N.A.",-0.5
8316A8CZ4,SBA 540087,15868756.78,9.511,0.935115354,4.4475,11/1/2022,,SIGNATURE BANK,1.511
8316A0JE1,SBA 530260,32413361.34,5.65,0.876059128,3.8025,11/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-2.35
8316A0JP6,SBA 530269,21522912.88,7.5,0.924911017,4.2125,11/1/2022,,TRUIST BANK,-0.5
8316A0JG6,SBA 530262,14872690.97,8.5,0.909943721,3.6576,11/1/2022,,CANTOR FITZGERALD & CO.,0.5
8316A0JA9,SBA 530256,18583721.25,5.6,0.97347672,7.4761,11/1/2022,,CANTOR FITZGERALD & CO.,-2.4
8316A0JD3,SBA 530259,20410263.56,8.325,0.992962727,16.2839,11/1/2022,,SIGNATURE BANK,0.325
8316A0JC5,SBA 530258,65251158.31,7.325,0.987994236,15.2287,11/1/2022,,"RAYMOND JAMES BANK, N.A.",-0.675
8316A0JB7,SBA 530257,2044850.08,5.8,0.94709844,4.0466,11/1/2022,,SIGNATURE BANK,-2.2
8316A0JH4,SBA 530263,27492377.98,5.6,0.962071404,5.4945,11/1/2022,,TRUIST BANK,-2.4
8316A0JK7,SBA 530265,102630250.4,5.7,0.9536876,8.5989,11/1/2022,,"BREAN CAPITAL, LLC",-2.3
8316A0JN1,SBA 530268,30541043.27,5.625,0.94688472,4.9247,11/1/2022,,"RAYMOND JAMES BANK, N.A.",-2.375
8316A0H29,SBA 530248,53507716.75,5.6,0.878133584,3.9317,10/1/2022,,TRUIST BANK,-2.4
8316A0H37,SBA 530249,46135184.01,7.25,0.8720428,3.7158,10/1/2022,,"RAYMOND JAMES BANK, N.A.",-0.75
8316A0H78,SBA 530253,52536878.41,5.6,0.935061326,4.7676,10/1/2022,,TRUIST BANK,-2.4
8316A0HK9,SBA 530233,44245848.7,5.55,0.958321088,9.4081,10/1/2022,,"RAYMOND JAMES BANK, N.A.",-2.45
8316A0HY9,SBA 530246,5165345.49,5.55,0.98527958,13.558,10/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-2.45
8316A8CV3,SBA 540083,51047466.11,7.628,0.963379244,10.078,10/1/2022,,"STIFEL NICOLAUS & COMPANY, INC",-0.372
8316A0H60,SBA 530252,42220564.62,5.65,0.886315591,3.3754,10/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-2.35
8316A0HR4,SBA 530239,13760889.99,5.625,0.974130841,8.6948,10/1/2022,,"RAYMOND JAMES BANK, N.A.",-2.375
8316A0HT0,SBA 530241,97256844.02,5.5,0.936037492,4.8631,10/1/2022,,"BREAN CAPITAL, LLC",-2.5
8316A0HU7,SBA 530242,22583336.88,5.625,0.879078035,3.2466,10/1/2022,,"BREAN CAPITAL, LLC",-2.375
8316A0HV5,SBA 530243,126392934.5,5.65,0.939693867,7.3159,10/1/2022,,"BREAN CAPITAL, LLC",-2.35
8316A0HW3,SBA 530244,22111049.76,5.625,0.937175284,5.9761,10/1/2022,,"BREAN CAPITAL, LLC",-2.375
8316A0HX1,SBA 530245,47598386.72,5.6,0.987329809,15.0632,10/1/2022,,TRUIST BANK,-2.4
8316A0HZ6,SBA 530247,22217743.78,5.65,0.969068906,7.483,10/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-2.35
8316A0H45,SBA 530250,73515363.81,7.825,0.98993404,15.6892,10/1/2022,,CANTOR FITZGERALD & CO.,-0.175
8316A0HQ6,SBA 530238,45854547.9,5.65,0.987420943,15.0854,10/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-2.35
8316A8CW1,SBA 540084,25221100.29,8.781,0.992518794,16.8062,10/1/2022,,BMO CAPITAL MARKETS CORP.,0.781
8316A0HM5,SBA 530235,25416052.57,5.625,0.929397923,4.5705,10/1/2022,,"RAYMOND JAMES BANK, N.A.",-2.375
8316A0HP8,SBA 530237,33130546.3,7.325,0.990317395,15.9375,10/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-0.675
8316A0HJ2,SBA 530232,15845785.77,8.875,0.949308663,4.9851,10/1/2022,,CANTOR FITZGERALD & CO.,0.875
8316A0H52,SBA 530251,7041081.29,5.625,0.949941182,4.9063,10/1/2022,,TRUIST BANK,-2.375
8316A8CU5,SBA 540082,51040184.26,8.713,0.981312193,13.4485,10/1/2022,,SIGNATURE BANK,0.713
8316A0H86,SBA 530254,42686669.47,5.5,0.942476717,4.933,10/1/2022,,BMO CAPITAL MARKETS CORP.,-2.5
8316A8CX9,SBA 540085,14463678.33,9.489,0.942127648,4.6448,10/1/2022,,STONEWALL INVESTMENTS TENNESSE,1.489
8316A8CY7,SBA 540086,11167747.31,9.42,0.925768002,4.3347,10/1/2022,,TRUIST BANK,1.42
8316A0HL7,SBA 530234,23474215.32,5.5,0.98714601,15.0186,10/1/2022,,SIGNATURE BANK,-2.5
8316A0HN3,SBA 530236,50594709.87,7.825,0.991340569,16.477,10/1/2022,,"RAYMOND JAMES BANK, N.A.",-0.175
8316A0HS2,SBA 530240,11984240.02,5.5,0.718785304,1.5872,10/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-2.5
8316A0G87,SBA 530222,2590978.65,8.635,0.74768376,1.8152,9/1/2022,,SIGNATURE BANK,0.635
8316A0GY0,SBA 530214,4071724.67,7.635,0.98852137,15.6758,9/1/2022,,SIGNATURE BANK,-0.365
8316A0G20,SBA 530216,34870299.86,7.25,0.833408149,2.6876,9/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-0.75
8316A0HE3,SBA 530228,45650595,6.04,0.970837296,11.766,9/1/2022,,BMO CAPITAL MARKETS CORP.,-1.96
8316A0HD5,SBA 530227,105987738.2,5.5,0.933159543,4.8202,9/1/2022,,"BREAN CAPITAL, LLC",-2.5
8316A0HF0,SBA 530229,2977724.46,7.825,0.890024996,3.0092,9/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-0.175
8316A0G38,SBA 530217,41005522.58,7.7,0.958611889,9.6681,9/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-0.3
8316A0G79,SBA 530221,25459091.68,8.325,0.976722202,12.7562,9/1/2022,,SIGNATURE BANK,0.325
8316A8CR2,SBA 540079,54164662.1,9.299,0.894647299,3.7085,9/1/2022,,SIGNATURE BANK,1.299
8316A0G53,SBA 530219,30461101.21,5.7,0.946094806,5.2615,9/1/2022,,"RAYMOND JAMES BANK, N.A.",-2.3
8316A0G61,SBA 530220,30023052.75,8.575,0.948164839,5.3035,9/1/2022,,FHN FINANCIAL CAPITAL MARKETS,0.575
8316A0HH6,SBA 530231,55192860.39,8.075,0.937127418,4.9049,9/1/2022,,TRUIST BANK,0.075
8316A8CQ4,SBA 540078,57729017.43,7.623,0.988425052,15.6059,9/1/2022,,SIGNATURE BANK,-0.377
8316A8CT8,SBA 540081,1517781.66,11.616,0.90457233,3.1772,9/1/2022,,STONEWALL INVESTMENTS TENNESSE,3.616
8316A8CS0,SBA 540080,70173984.88,8.372,0.947597974,8.1857,9/1/2022,,SIGNATURE BANK,0.372
8316A0G95,SBA 530223,44460808.26,5.5,0.937604405,4.9199,9/1/2022,,BMO CAPITAL MARKETS CORP.,-2.5
8316A0HB9,SBA 530225,23554434.66,5.6,0.833946489,2.8599,9/1/2022,,CANTOR FITZGERALD & CO.,-2.4
8316A0G46,SBA 530218,23477716.63,5.625,0.829854053,2.8392,9/1/2022,,"RAYMOND JAMES BANK, N.A.",-2.375
8316A0HC7,SBA 530226,137215167.6,5.6,0.948462258,10.7857,9/1/2022,,"BREAN CAPITAL, LLC",-2.4
8316A0HA1,SBA 530224,38349700.02,8.075,0.989761078,16.3158,9/1/2022,,"RAYMOND JAMES BANK, N.A.",0.075
8316A0GX2,SBA 530213,10124504.14,5.7,0.923292656,4.4176,9/1/2022,,SIGNATURE BANK,-2.3
8316A0GZ7,SBA 530215,6975778.66,5.65,0.85841355,3.3729,9/1/2022,,SIGNATURE BANK,-2.35
8316A0HG8,SBA 530230,105946307.2,7.325,0.972557173,11.9943,9/1/2022,,TRUIST BANK,-0.675
8316A0GA2,SBA 530192,67463873.43,7.075,0.985701655,15.5753,8/1/2022,,"RAYMOND JAMES BANK, N.A.",-0.925
8316A0GC8,SBA 530194,47249837.53,5.5,0.938584161,7.6383,8/1/2022,,SIGNATURE BANK,-2.5
8316A0GH7,SBA 530199,9310097.03,5.75,0.789130232,2.2829,8/1/2022,,"BREAN CAPITAL, LLC",-2.25
8316A0GQ7,SBA 530206,27145763.56,5.625,0.982380141,14.954,8/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-2.375
8316A0GN4,SBA 530204,15821783.79,5.65,0.955951484,9.7015,8/1/2022,,"RAYMOND JAMES BANK, N.A.",-2.35
8316A0GS3,SBA 530208,15081464.2,5.625,0.937190416,5.053,8/1/2022,,FHN FINANCIAL CAPITAL MARKETS,-2.375
8316A8CJ0,SBA 540072,37930175.76,9.185,0.880528284,3.5861,8/1/2022,,BMO CAPITAL MARKETS CORP.,1.185
